id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
1521,Union,0,Manager:Juan Manuel Azconzábal,5-3-2,stadium_clmn_attend:0,16-Jul-21,stadium_clmn_venue: 15 de Abril,La Liga professional,2021,Argentina,1 - 1,1,1,14,0,6,4,4,55.1,658,448,352,79,13,15,6,5,40,33,65,23,28,16,76,21,5,12,10,4,75,10,0,19,1,0,90
1521,Boca Juniors,1,Manager:Miguel Ángel Russo,4-4-2,stadium_clmn_attend:0,16-Jul-21,stadium_clmn_venue: 15 de Abril,La Liga professional,2021,Argentina,1 - 1,1,1,5,0,2,3,0,44.9,577,368,279,76,3,13,5,6,38,18,35,28,23,19,76,25,6,21,22,2,50,8,0,25,3,0,90
1522,Central Cordoba de Santiago,0,Manager:Gustavo Coleoni,3-4-3,stadium_clmn_attend:0, 19-Jul-21,stadium_clmn_venue: Estadio Único Madre de Ciudades,La Liga professional,2021,Argentina,1 - 1,1,1,17,1,6,9,2,41.9,465,263,185,70,7,14,6,10,43,18,45,30,10,14,58,24,10,8,8,2,0,8,0,21,1,0,90
1522,Banfield,1,Manager:Javier Sanguinetti,4-1-2-1-2,stadium_clmn_attend:0, 19-Jul-21,stadium_clmn_venue: Estadio Único Madre de Ciudades,La Liga professional,2021,Argentina,1 - 1,1,1,5,0,3,1,1,58.1,582,371,285,77,4,19,10,6,53,22,55,10,30,16,73,22,6,30,12,3,0,5,0,13,2,0,90
1523,Arsenal Sarandi,0,Manager:Sergio Rondina,4-3-2-1,stadium_clmn_attend:0,18-Jul-21,stadium_clmn_venue: Julio Humberto Grondona,La Liga professional,2021,Argentina,1 - 1,1,1,10,0,2,4,4,52.5,603,385,288,75,6,15,9,7,60,25,64,20,19,23,77,30,7,21,14,6,33,10,0,22,5,0,90
1523,San Lorenzo,1,Manager:Paolo Montero,4-4-2,stadium_clmn_attend:0,18-Jul-21,stadium_clmn_venue: Julio Humberto Grondona,La Liga professional,2021,Argentina,1 - 1,1,1,7,0,1,3,3,47.5,540,343,238,69,5,15,7,9,47,14,36,19,20,16,64,25,9,10,10,2,50,15,0,25,1,0,90
1524,Newell's Old Boys,0,Manager:Fernando Gamboa,4-1-4-1,stadium_clmn_attend:0, 17-Jul-21,stadium_clmn_venue: Marcelo Bielsa,La Liga professional,2021,Argentina,3 - 2,3,2,17,1,9,4,4,54.9,645,396,299,76,14,10,7,14,70,17,50,19,15,24,63,38,14,15,20,10,50,27,1,14,1,0,90
1524,Talleres,1,Manager:Alexander Medina,4-3-2-1,stadium_clmn_attend:0, 17-Jul-21,stadium_clmn_venue: Marcelo Bielsa,La Liga professional,2021,Argentina,3 - 2,2,3,11,1,4,4,3,45.1,565,331,228,69,7,23,14,7,61,17,50,14,20,30,81,37,7,23,4,5,60,15,0,18,2,0,90
1525,Independiente,0,Manager:Julio César Falcioni,4-2-3-1,stadium_clmn_attend:0, 19-Jul-21,stadium_clmn_venue: Estadio Libertadores de América,La Liga professional,2021,Argentina,0 - 0,0,0,12,0,6,4,2,47.8,671,464,357,77,10,22,14,7,64,15,58,8,18,15,68,22,7,16,17,7,29,9,0,12,3,0,90
1525,Argentinos Juniors,1,Manager:Gabriel Milito,5-3-2,stadium_clmn_attend:0, 19-Jul-21,stadium_clmn_venue: Estadio Libertadores de América,La Liga professional,2021,Argentina,0 - 0,0,0,8,0,1,6,1,52.2,705,515,414,80,7,9,7,14,78,11,42,18,8,17,55,31,14,20,19,0,0,13,0,16,1,0,90
1526,Sarmiento,0,Manager:Mario Sciacqua,4-4-2,stadium_clmn_attend:0, 17-Jul-21,stadium_clmn_venue: Eva Perón,La Liga professional,2021,Argentina,0 - 3,0,3,9,0,1,7,1,48.6,579,360,250,69,6,8,6,9,75,29,50,21,37,21,70,30,9,30,15,4,25,14,0,13,4,0,90
1526,Estudiantes,1,Manager:Ricardo Zielinski,4-4-2,stadium_clmn_attend:0, 17-Jul-21,stadium_clmn_venue: Eva Perón,La Liga professional,2021,Argentina,0 - 3,3,0,14,0,5,6,3,51.4,612,389,270,69,8,18,9,6,50,29,50,37,21,16,73,22,6,27,11,5,20,12,0,14,3,0,90
1527,Aldosivi,0,Manager:Fernando Gago,4-3-3,stadium_clmn_attend:0, 17-Jul-21,stadium_clmn_venue: José María Minella,La Liga professional,2021,Argentina,0 - 2,0,2,3,0,0,2,1,71.7,779,562,452,80,2,21,10,12,48,8,42,9,10,20,63,32,12,9,8,5,40,10,1,15,2,0,90
