id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
1,Cuiaba,0,Manager:Alberto Valentim do Carmo Neto,4-3-3,stadium_clmn_attend:0, 29-Mei-21,stadium_clmn_venue: Arena Pantanal,Campeonato Brasileiro,2021,Brazil,2 - 2,2,2,14,0,2,8,4,59.4,682,490,417,85,13,21,12,8,57,21,48,33,11,19,70,27,8,6,5,9,44,7,1,14,0,0,90
1,Juventude,1,Manager:Marcos Vinícius dos Santos Gonçalves,4-2-3-1,stadium_clmn_attend:0, 29-Mei-21,stadium_clmn_venue: Arena Pantanal,Campeonato Brasileiro,2021,Brazil,2 - 2,2,2,7,0,3,3,1,40.6,518,342,266,78,5,11,8,12,73,23,52,11,33,16,57,28,12,18,9,1,100,16,0,14,1,0,90
10,Sao Paulo,0,Manager:Hernan Crespo,3-5-2,stadium_clmn_attend:0,30-Mei-21,stadium_clmn_venue: Estadio Cicero Pompeu de Toledo (Morumbi),Campeonato Brasileiro,2021,Brazil,0 - 0,0,0,7,0,3,2,2,71.3,825,636,554,87,5,15,5,6,33,15,48,14,17,16,73,22,6,14,11,4,50,10,0,10,2,0,90
10,Fluminense,1,Manager:Roger Machado Marques,4-2-3-1,stadium_clmn_attend:0,30-Mei-21,stadium_clmn_venue: Estadio Cicero Pompeu de Toledo (Morumbi),Campeonato Brasileiro,2021,Brazil,0 - 0,0,0,11,0,5,4,2,28.7,440,251,178,71,10,12,6,5,50,16,52,17,14,20,80,25,5,23,10,5,40,10,0,12,2,0,90
100,Chapecoense AF,0,Manager:Jair Ventura,4-3-3,stadium_clmn_attend:0,09-Jul-21,stadium_clmn_venue: Arena Condá,Campeonato Brasileiro,2021,Brazil,0 - 1,0,1,14,0,4,6,4,42.2,570,397,324,82,8,10,6,12,60,16,43,26,11,14,54,26,12,21,9,5,20,5,0,17,2,0,90
100,Corinthians,1,Manager:Sylvio Mendes Campos Junior,4-2-3-1,stadium_clmn_attend:0,09-Jul-21,stadium_clmn_venue: Arena Condá,Campeonato Brasileiro,2021,Brazil,0 - 1,1,0,12,0,5,5,2,57.8,739,549,480,87,11,19,12,6,63,21,57,11,26,9,60,15,6,22,6,8,25,7,0,10,0,0,90
101,Juventude,0,Manager:Marcos Vinícius dos Santos Gonçalves,4-1-2-1-2,stadium_clmn_attend:0,11-Jul-21,stadium_clmn_venue: Alfredo Jaconi,Campeonato Brasileiro,2021,Brazil,1 - 1,1,1,15,0,3,9,3,50.6,640,454,382,84,12,9,7,6,78,15,47,18,14,11,65,17,6,7,5,4,75,10,0,17,1,0,90
101,Atletico GO,1,Manager:Eduardo de Souza Barroca,4-2-3-1,stadium_clmn_attend:0,11-Jul-21,stadium_clmn_venue: Alfredo Jaconi,Campeonato Brasileiro,2021,Brazil,1 - 1,1,1,8,0,4,1,3,49.4,633,459,386,84,6,12,6,7,50,17,53,14,18,12,63,19,7,19,12,3,33,5,0,23,0,0,90
102,Athletico Paranaense,0,Manager:António José Cardoso de Oliveira,4-2-3-1,stadium_clmn_attend:0, 10-Jul-21,stadium_clmn_venue: Arena da Baixada,Campeonato Brasileiro,2021,Brazil,2 - 2,2,2,22,0,6,10,6,54.1,660,490,410,84,20,18,11,9,61,15,52,16,13,10,53,19,9,9,11,3,67,7,0,18,0,0,90
102,Red Bull Bragantino,1,Manager:Mauricio Barbieri,4-2-3-1,stadium_clmn_attend:0, 10-Jul-21,stadium_clmn_venue: Arena da Baixada,Campeonato Brasileiro,2021,Brazil,2 - 2,2,2,16,0,4,10,2,45.9,571,409,330,81,10,16,9,11,56,14,48,13,16,14,56,25,11,13,8,2,0,3,0,16,3,0,90
