id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
382,Burnley,0,Manager:Sean Dyche,4-4-2,"stadium_clmn_attend:16,910", 14-Ago-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,1 - 2,1,2,14,2,3,8,3,35.9,463,259,181,70,9,18,12,3,67,26,57,25,21,16,84,19,3,12,10,7,14,10,0,10,1,0,90
382,Brighton,1,Manager:Graham Potter,4-1-4-1,"stadium_clmn_attend:16,910", 14-Ago-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,1 - 2,2,1,14,0,8,4,2,64.1,705,518,424,82,10,7,3,12,43,20,43,21,25,16,57,28,12,27,6,6,83,12,0,7,0,0,90
381,Brentford,0,Manager:Thomas Frank,3-5-2,"stadium_clmn_attend:16,479",13-Ago-21,stadium_clmn_venue: Brentford Community Stadium,Premier League,2021-2022,England,2 - 0,2,0,8,1,3,5,0,35.3,480,309,201,65,6,11,7,9,64,17,46,25,12,20,69,29,9,19,9,2,50,5,0,12,1,0,90
381,Arsenal,1,Manager:Mikel Arteta,4-2-3-1,"stadium_clmn_attend:16,479",13-Ago-21,stadium_clmn_venue: Brentford Community Stadium,Premier League,2021-2022,England,2 - 0,0,2,22,0,4,14,4,64.7,776,568,488,86,19,20,9,7,45,20,54,12,25,9,56,16,7,14,7,5,60,9,0,8,1,0,90
383,Chelsea,0,Manager:Thomas Tuchel,3-4-2-1,"stadium_clmn_attend:38,965", 14-Ago-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,3 - 0,3,0,13,0,6,5,2,61.7,834,678,623,92,6,14,8,13,57,7,32,12,10,21,62,34,13,8,11,5,20,5,0,15,0,0,90
383,Crystal Palace,1,Manager:Patrick Vieira,4-4-2,"stadium_clmn_attend:38,965", 14-Ago-21,stadium_clmn_venue: Stamford Bridge,Premier League,2021-2022,England,3 - 0,0,3,4,0,1,2,1,38.3,591,423,363,86,4,20,13,8,65,15,68,10,12,11,58,19,8,24,9,2,50,14,0,11,1,0,90
384,Everton,0,Manager:Rafael Benítez,4-2-3-1,"stadium_clmn_attend:38,487", 14-Ago-21,stadium_clmn_venue: Goodison Park,Premier League,2021-2022,England,3 - 1,3,1,14,0,6,5,3,48.1,565,337,235,70,11,14,7,10,50,25,57,15,29,23,70,33,10,26,6,6,0,14,1,13,0,0,90
384,Southampton,1,Manager:Ralph Hasenhüttl,4-4-2,"stadium_clmn_attend:38,487", 14-Ago-21,stadium_clmn_venue: Goodison Park,Premier League,2021-2022,England,3 - 1,1,3,6,0,3,1,2,51.9,583,370,256,69,4,23,10,7,43,19,43,29,15,21,75,28,7,22,5,8,0,10,0,15,0,0,90
385,Leicester,0,Manager:Brendan Rodgers,4-2-3-1,"stadium_clmn_attend:31,983", 14-Ago-21,stadium_clmn_venue: King Power Stadium,Premier League,2021-2022,England,1 - 0,1,0,9,0,5,3,1,56.3,781,584,505,86,8,20,7,21,35,10,45,10,12,15,42,36,21,15,11,5,40,7,2,6,5,0,90
385,Wolves,1,Manager:Bruno Lage,3-4-3,"stadium_clmn_attend:31,983", 14-Ago-21,stadium_clmn_venue: King Power Stadium,Premier League,2021-2022,England,1 - 0,0,1,17,0,3,7,7,43.7,645,443,366,83,12,32,21,7,66,12,55,12,10,20,74,27,7,16,13,4,25,4,0,10,4,0,90
386,Man Utd,0,Manager:Ole Gunnar Solskjær,4-2-3-1,"stadium_clmn_attend:72,732", 14-Ago-21,stadium_clmn_venue: Old Trafford,Premier League,2021-2022,England,5 - 1,5,1,16,0,8,5,3,48.6,604,422,334,79,14,24,12,9,50,11,55,13,7,6,40,15,9,15,8,5,20,11,0,11,2,0,90
386,Leeds,1,Manager:Marcelo Bielsa,4-1-4-1,"stadium_clmn_attend:72,732", 14-Ago-21,stadium_clmn_venue: Old Trafford,Premier League,2021-2022,England,5 - 1,1,5,10,0,3,6,1,51.4,624,438,343,78,7,12,9,12,75,9,45,7,13,23,66,35,12,14,14,4,50,3,0,9,3,0,90
387,Newcastle,0,Manager:Steve Bruce,5-3-2,"stadium_clmn_attend:50,673",15-Ago-21,stadium_clmn_venue: St. James' Park,Premier League,2021-2022,England,2 - 4,2,4,17,0,3,7,7,46.4,596,401,340,85,12,23,14,11,61,12,38,14,18,8,42,19,11,21,9,7,29,14,0,4,1,0,90
387,West Ham,1,Manager:David Moyes,4-2-3-1,"stadium_clmn_attend:50,673",15-Ago-21,stadium_clmn_venue: St. James' Park,Premier League,2021-2022,England,2 - 4,4,2,18,1,9,4,5,53.6,654,473,405,86,12,15,11,14,73,20,63,18,14,23,62,37,14,21,7,6,50,4,0,3,2,0,90
388,Norwich,0,Manager:Daniel Farke,4-3-3,"stadium_clmn_attend:27,023", 14-Ago-21,stadium_clmn_venue: Carrow Road,Premier League,2021-2022,England,0 - 3,0,3,14,0,3,8,3,50.1,733,520,441,85,11,18,10,7,56,8,36,11,11,19,73,26,7,36,9,3,33,8,0,4,2,0,90
388,Liverpool,1,Manager:Jürgen Klopp,4-3-3,"stadium_clmn_attend:27,023", 14-Ago-21,stadium_clmn_venue: Carrow Road,Premier League,2021-2022,England,0 - 3,3,0,19,0,8,7,4,49.9,691,512,432,84,14,20,7,10,35,14,64,11,11,16,62,26,10,16,5,11,27,6,2,14,0,0,90
389,Tottenham,0,Manager:Nuno Espírito Santo,4-3-3,"stadium_clmn_attend:58,262",15-Ago-21,stadium_clmn_venue: Tottenham Hotspur Stadium,Premier League,2021-2022,England,1 - 0,1,0,13,0,3,5,5,34.4,494,293,227,77,10,19,14,20,74,14,42,19,14,15,43,35,20,24,10,3,0,11,0,11,3,0,90
389,Man City,1,Manager:Josep Guardiola,4-3-3,"stadium_clmn_attend:58,262",15-Ago-21,stadium_clmn_venue: Tottenham Hotspur Stadium,Premier League,2021-2022,England,1 - 0,0,1,18,0,4,9,5,65.6,731,548,469,86,13,27,20,14,74,19,58,14,19,16,53,30,14,10,3,11,55,8,0,8,1,0,90
390,Watford,0,Manager:Francisco Javier Muñoz Llompart,4-1-4-1,"stadium_clmn_attend:20,051", 14-Ago-21,stadium_clmn_venue: Vicarage Road,Premier League,2021-2022,England,3 - 2,3,2,13,0,7,4,2,37.9,487,317,234,74,11,18,13,14,72,24,59,14,27,15,52,29,14,25,9,2,50,8,0,18,0,0,90
390,Aston Villa,1,Manager:Dean Smith,4-2-3-1,"stadium_clmn_attend:20,051", 14-Ago-21,stadium_clmn_venue: Vicarage Road,Premier League,2021-2022,England,3 - 2,2,3,11,0,2,6,3,62.1,702,508,435,86,6,16,14,13,88,17,41,27,14,13,50,26,13,6,11,4,0,13,0,13,2,0,90
391,Arsenal,0,Manager:Mikel Arteta,4-2-3-1,"stadium_clmn_attend:58,729",22-Ago-21,stadium_clmn_venue: Emirates Stadium,Premier League,2021-2022,England,0 - 2,0,2,6,0,3,2,1,35.0,508,335,266,79,6,13,9,7,69,11,38,14,15,20,74,27,7,13,6,9,22,7,0,10,5,0,90
391,Chelsea,1,Manager:Thomas Tuchel,3-4-2-1,"stadium_clmn_attend:58,729",22-Ago-21,stadium_clmn_venue: Emirates Stadium,Premier League,2021-2022,England,0 - 2,2,0,22,0,5,6,11,65.0,831,646,574,89,18,16,7,9,44,18,62,15,14,11,55,20,9,23,10,8,38,11,0,4,0,0,90
392,Aston Villa,0,Manager:Dean Smith,4-3-3,"stadium_clmn_attend:41,964", 21-Ago-21,stadium_clmn_venue: Villa Park,Premier League,2021-2022,England,2 - 0,2,0,10,0,2,7,1,47.3,467,303,238,79,8,6,2,4,33,17,49,21,14,13,76,17,4,23,4,3,33,10,0,8,3,0,90
392,Newcastle,1,Manager:Steve Bruce,5-3-2,"stadium_clmn_attend:41,964", 21-Ago-21,stadium_clmn_venue: Villa Park,Premier League,2021-2022,England,2 - 0,0,2,9,0,1,7,1,52.7,482,333,257,77,9,12,4,2,33,18,51,14,21,14,88,16,2,20,2,4,75,5,0,18,2,0,90
393,Brighton,0,Manager:Graham Potter,4-4-1-1,"stadium_clmn_attend:29,485", 21-Ago-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,2 - 0,2,0,13,0,3,5,5,56.9,765,585,502,86,10,8,7,6,88,17,49,18,17,19,76,25,6,17,8,7,57,12,0,11,1,0,90
393,Watford,1,Manager:Francisco Javier Muñoz Llompart,4-1-4-1,"stadium_clmn_attend:29,485", 21-Ago-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,2 - 0,0,2,10,0,1,5,4,43.1,626,441,365,83,10,13,6,7,46,18,51,17,18,13,65,20,7,25,10,2,50,12,1,6,1,0,90
394,Crystal Palace,0,Manager:Patrick Vieira,4-3-3,"stadium_clmn_attend:23,091", 21-Ago-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,0 - 0,0,0,7,1,2,5,0,52.7,645,431,324,75,6,16,8,9,50,26,55,20,27,15,63,24,9,20,13,3,33,16,0,12,1,0,90
394,Brentford,1,Manager:Thomas Frank,3-5-2,"stadium_clmn_attend:23,091", 21-Ago-21,stadium_clmn_venue: Selhurst Park,Premier League,2021-2022,England,0 - 0,0,0,14,1,3,7,4,47.3,580,382,270,71,11,13,9,8,69,21,45,27,20,24,75,32,8,11,11,5,60,11,0,9,2,0,90
395,Leeds,0,Manager:Marcelo Bielsa,3-3-3-1,"stadium_clmn_attend:36,293", 21-Ago-21,stadium_clmn_venue: Elland Road,Premier League,2021-2022,England,2 - 2,2,2,17,0,4,6,7,70.0,812,606,517,85,13,22,12,8,55,16,48,9,24,19,70,27,8,6,9,8,25,6,0,6,0,0,90
395,Everton,1,Manager:Rafael Benítez,4-4-1-1,"stadium_clmn_attend:36,293", 21-Ago-21,stadium_clmn_venue: Elland Road,Premier League,2021-2022,England,2 - 2,2,2,17,0,8,5,4,30.0,457,253,168,66,15,17,8,12,47,17,52,24,9,16,57,28,12,25,20,5,80,10,0,13,0,0,90
396,Liverpool,0,Manager:Jürgen Klopp,4-3-3,"stadium_clmn_attend:52,591", 21-Ago-21,stadium_clmn_venue: Anfield,Premier League,2021-2022,England,2 - 0,2,0,27,0,9,10,8,66.5,736,527,434,82,23,12,4,9,33,24,50,15,33,14,61,23,9,25,5,8,38,10,0,6,3,0,90
