id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
1000,Torino,0,Manager:Ivan Juric,3-4-2-1,stadium_clmn_attend:0,23-Jan-22,stadium_clmn_venue: Olimpico Grande Torino,Serie A,2021-2022,Italy,1 - 1,1,1,21,2,6,10,5,50.3,572,405,319,79,16,19,11,0,58,19,46,23,18,9,100,9,0,12,6,4,75,4,0,21,5,0,90
1000,Sassuolo,1,Manager:Alessio Dionisi,4-3-3,stadium_clmn_attend:0,23-Jan-22,stadium_clmn_venue: Olimpico Grande Torino,Serie A,2021-2022,Italy,1 - 1,1,1,6,0,1,2,3,49.7,568,409,307,75,6,3,0,11,0,22,54,18,23,12,52,23,11,15,6,3,33,6,2,15,1,0,90
1001,Atalanta,0,Manager:Gian Piero Gasperini,4-2-3-1,"stadium_clmn_attend:7,868",06-Feb-22,stadium_clmn_venue: Gewiss Stadium,Serie A,2021-2022,Italy,1 - 2,1,2,10,0,3,3,4,60.5,755,580,486,84,7,13,5,7,38,15,37,20,21,13,65,20,7,9,11,3,67,8,0,13,1,0,90
1001,Cagliari,1,Manager:Walter Mazzarri,3-1-4-2,"stadium_clmn_attend:7,868",06-Feb-22,stadium_clmn_venue: Gewiss Stadium,Serie A,2021-2022,Italy,1 - 2,2,1,7,0,4,2,1,39.5,569,381,287,75,5,14,7,5,50,26,63,21,20,16,76,21,5,23,12,1,0,6,0,14,3,0,90
1002,Bologna,0,Manager:Sinisa Mihajlovic,3-4-1-2,stadium_clmn_attend:0,06-Feb-22,stadium_clmn_venue: Renato Dall'Ara,Serie A,2021-2022,Italy,0 - 0,0,0,12,1,2,7,3,60.2,704,514,423,82,11,10,9,16,90,19,68,21,7,15,48,31,16,17,14,3,67,5,0,10,5,0,90
1002,Empoli,1,Manager:Aurelio Andreazzoli,4-3-2-1,stadium_clmn_attend:0,06-Feb-22,stadium_clmn_venue: Renato Dall'Ara,Serie A,2021-2022,Italy,0 - 0,0,0,15,1,4,7,4,39.8,536,334,243,73,13,21,16,9,76,9,32,7,21,6,40,15,9,24,9,5,20,10,0,15,1,0,90
1003,Fiorentina,0,Manager:Vincenzo Italiano,4-3-3,"stadium_clmn_attend:17,181", 05-Feb-22,stadium_clmn_venue: Artemio Franchi,Serie A,2021-2022,Italy,0 - 3,0,3,9,0,3,5,1,50.0,630,479,417,87,8,4,3,6,75,7,54,9,4,10,63,16,6,7,11,4,50,10,0,13,2,0,90
1003,Lazio,1,Manager:Maurizio Sarri,4-3-3,"stadium_clmn_attend:17,181", 05-Feb-22,stadium_clmn_venue: Artemio Franchi,Serie A,2021-2022,Italy,0 - 3,3,0,12,0,7,5,0,50.0,633,495,421,85,9,9,6,3,67,6,46,4,9,11,79,14,3,13,10,3,0,7,0,15,2,0,90
1004,Inter,0,Manager:Simone Inzaghi,3-5-2,"stadium_clmn_attend:37,918", 05-Feb-22,stadium_clmn_venue: Giuseppe Meazza,Serie A,2021-2022,Italy,1 - 2,1,2,11,0,5,2,4,46.0,528,349,294,84,9,9,3,12,33,9,47,12,7,16,57,28,12,10,8,6,50,10,0,20,1,0,90
1004,AC Milan,1,Manager:Stefano Pioli,4-2-3-1,"stadium_clmn_attend:37,918", 05-Feb-22,stadium_clmn_venue: Giuseppe Meazza,Serie A,2021-2022,Italy,1 - 2,2,1,10,0,3,3,4,54.0,618,430,360,84,7,18,12,3,67,10,53,7,12,16,84,19,3,19,9,4,100,10,0,14,2,0,90
